,Anger,Disgust,Fear,Happy,Neutral,Sad,Surprise,,,
Anger,335,7,87,171,114,211,33,,,
Disgust,23,32,10,13,9,22,2,,,
Fear,97,12,272,171,139,243,90,,,
Happy,84,2,62,1346,115,136,29,,,
Neutral,93,11,97,206,509,285,32,,,
Sad,125,11,127,239,181,538,26,,,
Surprise,39,1,74,78,53,73,513,,,
,0.349686848,0.288288288,0.265625,0.758737317,0.412814274,0.431435445,0.61732852,,Medie:,0.493870159
