,0,1,2,3,4,5,6
0,335.0,7.0,87.0,171.0,114.0,211.0,33.0
1,23.0,32.0,10.0,13.0,9.0,22.0,2.0
2,97.0,12.0,272.0,171.0,139.0,243.0,90.0
3,84.0,2.0,62.0,1346.0,115.0,136.0,29.0
4,93.0,11.0,97.0,206.0,509.0,285.0,32.0
5,125.0,11.0,127.0,239.0,181.0,538.0,26.0
6,39.0,1.0,74.0,78.0,53.0,73.0,513.0
